Provincia;Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Toma de datos;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasolina 95 E5 Premium;Precio gasolina 98 E5;Precio gasolina 98 E10;Precio gasóleo A;Precio gasóleo Premium;Precio gasóleo B;Precio gasóleo C;Precio bioetanol;Precio biodiésel;Precio gases licuados del petróleo;Precio gas natural comprimido;Precio gas natural licuado;Precio hidrógeno;Rótulo;Tipo venta;Rem.;Horario;Tipo servicio
ALBACETE;ABENGIBRE;ABENGIBRE;02250;AVENIDA CASTILLA LA MANCHA, 26;D;-1.539167;39.211417;13/11/24 15:56;1.399;;;;;1.379;;0.939;;;;;;;;Nº 10.935;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
ALBACETE;ALATOZ;ALATOZ;02152;CR CM-332, 46,4;I;-1.346083;39.100389;11/11/24 19:35;1.699;;;;;1.589;1.709;;;;;;;;;REPSOL;P;dm;L-D: 7:00-23:00;L-D: 7:00-23:00 (A)
ALBACETE;ALBACETE;ALBACETE;02001;AVENIDA 1º DE MAYO, S/N;N;-1.8685;38.985667;15/11/24 11:01;1.529;;;1.629;;1.449;1.489;;;;;;;;;CARREFOUR;P;dm;"L-S: 08:00-22:00; D: 09:00-21:00";"L-S: 08:00-22:00 (A); D: 09:00-21:00 (A)"
ALBACETE;ALBACETE;ALBACETE;02001;CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5;I;-1.832;39.054694;16/11/24 0:00;1.539;;;1.681;;1.479;1.569;;;;;;;;;BP ROMICA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
ALBACETE;ALBACETE;ALBACETE;02001;CALLE FEDERICO GARCIA LORCA, 1;D;-1.849833;39.000861;11/11/24 4:15;1.359;;;;;1.259;;;;;;;;;;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
ALBACETE;ALBACETE;ALBACETE;02001;CALLE FEDERICO GARCIA LORCA, 5;I;-1.846361;38.997722;13/11/24 11:22;;;;;;1.509;;;;;;;;;;CEPSA;R;dm;L-S: 05:00-23:00;L-S: 05:00-23:00 (A)
ALBACETE;ALBACETE;ALBACETE;02005;CALLE CONSTANTINO ROMERO, S/N;D;-1.884444;39.005528;11/11/24 4:15;1.359;;;;;1.259;;;;;;;;;;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
ALBACETE;ALBACETE;ALBACETE;02005;CL PASEO DE LA CUBA, 15;D;-1.854556;38.999722;16/11/24 10:00;1.549;;;1.649;;1.489;1.549;;;;;0.929;;;;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;ALBACETE;ALBACETE;02005;PASEO CUBA (LA), 36;N;-1.859917;39.005083;15/11/24 0:00;1.598;;;1.73;;1.524;1.594;;;;;0.939;;;;CEPSA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
ALBACETE;ALBACETE;ALBACETE;02005;AVENIDA MENÉNDEZ PIDAL, 58;N;-1.864917;39.003333;12/11/24 9:48;1.549;;;1.659;;1.479;1.539;;;;;;;;;TAMOS;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;ALBACETE;ALBACETE;02005;AVENIDA ESCRITOR RODRIGO RUBIO, 3;D;-1.885361;39.006889;14/11/24 0:24;1.358;;;;;1.258;1.368;;;;;0.818;;;;A&A;P;dm;L-S: 09:00-21:30;Sin datos
ALBACETE;ALBACETE;ALBACETE;02002;CALLE HERMANOS FALCÓ, 2;D;-1.849028;38.98925;11/11/24 20:31;1.599;;;1.719;;1.509;1.579;;;;;;;;;CEPSA;P;dm;L-D: 06:30-22:30;Sin datos
ALBACETE;ALBACETE;ALBACETE;02006;CALLE ALMANSA, 2;I;-1.847083;38.984139;10/11/24 22:25;1.594;;;1.726;;1.504;1.568;;;;;;;;;CEPSA;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
ALBACETE;ALBACETE;ALBACETE;02006;CALLE CTRA. DE JAEN, 79;I;-1.883694;38.988111;4/11/24 11:09;1.539;;;1.669;;1.459;1.529;;;;;;;;;REPSOL;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
ALBACETE;ALBACETE;ALBACETE;02006;CARRETERA JAEN KM. 2;D;-1.871722;38.994667;8/11/24 6:00;1.549;;1.589;1.669;;1.479;1.539;;;;;;;;;REPSOL;P;dm;L-D: 24H;L-D: 24H (A)
