precio_carburante;fecha_act_precio_carburante;tipo_carburante;nombre_estacion
1.399;13/11/24 15:56;gasolina 95 E5;AVENIDA CASTILLA LA MANCHA, 26
1.379;13/11/24 15:56;gasóleo A;AVENIDA CASTILLA LA MANCHA, 26
0.939;13/11/24 15:56;gasóleo B;AVENIDA CASTILLA LA MANCHA, 26
1.699;11/11/24 19:35;gasolina 95 E5;CR CM-332, 46,4
1.589;11/11/24 19:35;gasóleo A;CR CM-332, 46,4
1.709;11/11/24 19:35;gasóleo Premium;CR CM-332, 46,4
1.529;15/11/24 11:01;gasolina 95 E5;AVENIDA 1º DE MAYO, S/N
1.629;15/11/24 11:01;gasolina 98 E5;AVENIDA 1º DE MAYO, S/N
1.449;15/11/24 11:01;gasóleo A;AVENIDA 1º DE MAYO, S/N
1.489;15/11/24 11:01;gasóleo Premium;AVENIDA 1º DE MAYO, S/N
640;15/11/24 11:01;gasóleo de uso marítimo;AVENIDA 1º DE MAYO, S/N
1.539;16/11/24 0:00;gasolina 95 E5;CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5
1.681;16/11/24 0:00;gasolina 98 E5;CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5
1.479;16/11/24 0:00;gasóleo A;CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5
1.569;16/11/24 0:00;gasóleo Premium;CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5
1.359;11/11/24 4:15;gasolina 95 E5;CALLE FEDERICO GARCIA LORCA, 1
1.259;11/11/24 4:15;gasóleo A;CALLE FEDERICO GARCIA LORCA, 1
716;11/11/24 4:15;gasóleo de uso marítimo;CALLE FEDERICO GARCIA LORCA, 1
1.509;13/11/24 11:22;gasóleo A;CALLE FEDERICO GARCIA LORCA, 5
1.359;11/11/24 4:15;gasolina 95 E5;CALLE CONSTANTINO ROMERO, S/N
1.259;11/11/24 4:15;gasóleo A;CALLE CONSTANTINO ROMERO, S/N
1.549;16/11/24 10:00;gasolina 95 E5;CL PASEO DE LA CUBA, 15
1.649;16/11/24 10:00;gasolina 98 E5;CL PASEO DE LA CUBA, 15
1.489;16/11/24 10:00;gasóleo A;CL PASEO DE LA CUBA, 15
1.549;16/11/24 10:00;gasóleo Premium;CL PASEO DE LA CUBA, 15
700;16/11/24 10:00;gasóleo de uso marítimo;CL PASEO DE LA CUBA, 15
0.929;16/11/24 10:00;gases licuados del petróleo;CL PASEO DE LA CUBA, 15
1.598;15/11/24 0:00;gasolina 95 E5;PASEO CUBA (LA), 36
1.73;15/11/24 0:00;gasolina 98 E5;PASEO CUBA (LA), 36
1.524;15/11/24 0:00;gasóleo A;PASEO CUBA (LA), 36
1.594;15/11/24 0:00;gasóleo Premium;PASEO CUBA (LA), 36
0.939;15/11/24 0:00;gases licuados del petróleo;PASEO CUBA (LA), 36
1.549;12/11/24 9:48;gasolina 95 E5;AVENIDA MENÉNDEZ PIDAL, 58
1.659;12/11/24 9:48;gasolina 98 E5;AVENIDA MENÉNDEZ PIDAL, 58
1.479;12/11/24 9:48;gasóleo A;AVENIDA MENÉNDEZ PIDAL, 58
1.539;12/11/24 9:48;gasóleo Premium;AVENIDA MENÉNDEZ PIDAL, 58
616;12/11/24 9:48;gasóleo de uso marítimo;AVENIDA MENÉNDEZ PIDAL, 58
1.358;14/11/24 0:24;gasolina 95 E5;AVENIDA ESCRITOR RODRIGO RUBIO, 3
1.258;14/11/24 0:24;gasóleo A;AVENIDA ESCRITOR RODRIGO RUBIO, 3
1.368;14/11/24 0:24;gasóleo Premium;AVENIDA ESCRITOR RODRIGO RUBIO, 3
0.818;14/11/24 0:24;gases licuados del petróleo;AVENIDA ESCRITOR RODRIGO RUBIO, 3
1.599;11/11/24 20:31;gasolina 95 E5;CALLE HERMANOS FALCÓ, 2
1.719;11/11/24 20:31;gasolina 98 E5;CALLE HERMANOS FALCÓ, 2
1.509;11/11/24 20:31;gasóleo A;CALLE HERMANOS FALCÓ, 2
1.579;11/11/24 20:31;gasóleo Premium;CALLE HERMANOS FALCÓ, 2
1.594;10/11/24 22:25;gasolina 95 E5;CALLE ALMANSA, 2
1.726;10/11/24 22:25;gasolina 98 E5;CALLE ALMANSA, 2
1.504;10/11/24 22:25;gasóleo A;CALLE ALMANSA, 2
1.568;10/11/24 22:25;gasóleo Premium;CALLE ALMANSA, 2
1.539;4/11/24 11:09;gasolina 95 E5;CALLE CTRA. DE JAEN, 79
1.669;4/11/24 11:09;gasolina 98 E5;CALLE CTRA. DE JAEN, 79
1.459;4/11/24 11:09;gasóleo A;CALLE CTRA. DE JAEN, 79
1.529;4/11/24 11:09;gasóleo Premium;CALLE CTRA. DE JAEN, 79
1.549;8/11/24 6:00;gasolina 95 E5;CARRETERA JAEN KM. 2
1.589;8/11/24 6:00;gasolina 95 E5 Premium;CARRETERA JAEN KM. 2
1.669;8/11/24 6:00;gasolina 98 E5;CARRETERA JAEN KM. 2
1.479;8/11/24 6:00;gasóleo A;CARRETERA JAEN KM. 2
1.539;8/11/24 6:00;gasóleo Premium;CARRETERA JAEN KM. 2
1.359;11/11/24 10:48;gasolina 95 E5;CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N
1.559;11/11/24 10:48;gasolina 98 E5;CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N
1.259;11/11/24 10:48;gasóleo A;CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N
1.359;11/11/24 10:48;gasóleo Premium;CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N
1.569;11/11/24 11:53;gasolina 95 E5;CR N-322, 337,8
1.709;11/11/24 11:53;gasolina 98 E5;CR N-322, 337,8
1.469;11/11/24 11:53;gasóleo A;CR N-322, 337,8
1.539;11/11/24 11:53;gasóleo Premium;CR N-322, 337,8
1.479;15/11/24 7:00;gasolina 95 E5;AVDA. DE LOS TOREROS, S/N
1.389;15/11/24 7:00;gasóleo A;AVDA. DE LOS TOREROS, S/N
1.439;15/11/24 7:00;gasóleo Premium;AVDA. DE LOS TOREROS, S/N
1.529;16/11/24 0:00;gasolina 95 E5;PG CAMPOLLANO-P. 2-CT, S.N.
1.639;16/11/24 0:00;gasolina 98 E5;PG CAMPOLLANO-P. 2-CT, S.N.
1.469;16/11/24 0:00;gasóleo A;PG CAMPOLLANO-P. 2-CT, S.N.
1.539;16/11/24 0:00;gasóleo Premium;PG CAMPOLLANO-P. 2-CT, S.N.
1.549;16/11/24 11:00;gasolina 95 E5;CR N-301, 244
1.649;16/11/24 11:00;gasolina 98 E5;CR N-301, 244
1.479;16/11/24 11:00;gasóleo A;CR N-301, 244
1.539;16/11/24 11:00;gasóleo Premium;CR N-301, 244
1.529;16/11/24 0:00;gasolina 95 E5;CARRETERA N-322 KM. 359
1.649;16/11/24 0:00;gasolina 98 E5;CARRETERA N-322 KM. 359
1.459;16/11/24 0:00;gasóleo A;CARRETERA N-322 KM. 359
1.539;16/11/24 0:00;gasóleo Premium;CARRETERA N-322 KM. 359
1.489;15/11/24 16:27;gasolina 95 E5;AVENIDA 1º DE MAYO, S/N
1.389;15/11/24 16:27;gasóleo A;AVENIDA 1º DE MAYO, S/N
1.479;15/11/24 7:00;gasolina 95 E5;AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N
1.389;15/11/24 7:00;gasóleo A;AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N
1.389;13/11/24 22:15;gasóleo A;CARRETERA NACIONAL 322 PTO KM 347 KM. 347
1.479;15/11/24 6:00;gasolina 95 E5;CARRETERA NACIONAL 301 KM. 256
1.379;15/11/24 6:00;gasóleo A;CARRETERA NACIONAL 301 KM. 256
1.619;11/11/24 8:26;gasolina 95 E5;CARRETERA N-322 KM. 349
1.669;11/11/24 8:26;gasolina 98 E5;CARRETERA N-322 KM. 349
1.509;11/11/24 8:26;gasóleo A;CARRETERA N-322 KM. 349
1.589;11/11/24 8:26;gasóleo Premium;CARRETERA N-322 KM. 349
1.519;16/11/24 0:00;gasolina 95 E5;AVENIDA PRINCIPE, 2
1.629;16/11/24 0:00;gasolina 98 E5;AVENIDA PRINCIPE, 2
1.449;16/11/24 0:00;gasóleo A;AVENIDA PRINCIPE, 2
1.499;16/11/24 0:00;gasóleo Premium;AVENIDA PRINCIPE, 2
1.165;16/11/24 0:00;gasóleo B;AVENIDA PRINCIPE, 2
1500;16/11/24 0:00;gasóleo de uso marítimo;AVENIDA PRINCIPE, 2
1.405;6/11/24 12:29;gasolina 95 E5;CM. 3203 km 14,1
1.306;6/11/24 12:29;gasóleo A;CM. 3203 km 14,1
1.86;6/11/24 12:29;gasóleo Premium;CM. 3203 km 14,1
0.97;6/11/24 12:29;gasóleo B;CM. 3203 km 14,1
