direccion_estacion;margen_estacion;tipo_estacion;horario_estacion;latitud_estacion;longitud_estacion;nombre_localidad;nombre_empresa
AVENIDA CASTILLA LA MANCHA, 26;D;Terrestre;L-D: 07:00-22:00;39.211417;-1.539167;ABENGIBRE;Nº 10.935
CR CM-332, 46,4;I;Terrestre;L-D: 7:00-23:00;39.100389;-1.346083;ALATOZ;REPSOL
AVENIDA 1º DE MAYO, S/N;N;Terrestre;"L-S: 08:00-22:00; D: 09:00-21:00";38.985667;-1.8685;ALBACETE;CARREFOUR
CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5;I;Terrestre;L-D: 06:00-22:00;39.054694;-1.832;ALBACETE;BP ROMICA
CALLE FEDERICO GARCIA LORCA, 1;D;Terrestre;L-D: 24H;39.000861;-1.849833;ALBACETE;PLENOIL
CALLE FEDERICO GARCIA LORCA, 5;I;Terrestre;L-S: 05:00-23:00;38.997722;-1.846361;ALBACETE;CEPSA
CALLE CONSTANTINO ROMERO, S/N;D;Terrestre;L-D: 24H;39.005528;-1.884444;ALBACETE;PLENOIL
CL PASEO DE LA CUBA, 15;D;Terrestre;L-D: 06:00-22:00;38.999722;-1.854556;ALBACETE;REPSOL
PASEO CUBA (LA), 36;N;Terrestre;L-D: 06:00-22:00;39.005083;-1.859917;ALBACETE;CEPSA
AVENIDA MENÉNDEZ PIDAL, 58;N;Terrestre;L-D: 24H;39.003333;-1.864917;ALBACETE;TAMOS
AVENIDA ESCRITOR RODRIGO RUBIO, 3;D;Terrestre;L-S: 09:00-21:30;39.006889;-1.885361;ALBACETE;A&A
CALLE HERMANOS FALCÓ, 2;D;Terrestre;L-D: 06:30-22:30;38.98925;-1.849028;ALBACETE;CEPSA
CALLE ALMANSA, 2;I;Terrestre;L-D: 06:00-23:00;38.984139;-1.847083;ALBACETE;CEPSA
CALLE CTRA. DE JAEN, 79;I;Terrestre;L-D: 06:00-22:00;38.988111;-1.883694;ALBACETE;REPSOL
CARRETERA JAEN KM. 2;D;Terrestre;L-D: 24H;38.994667;-1.871722;ALBACETE;REPSOL
CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N;N;Terrestre;"L-S: 07:00-23:00; D: 08:00-23:00";38.988972;-1.847361;ALBACETE;FAMILY ENERGY
CR N-322, 337,8;I;Terrestre;L-D: 06:30-22:00;38.925833;-2.031861;ALBACETE;REPSOL
AVDA. DE LOS TOREROS, S/N;N;Terrestre;L-D: 07:00-23:00;38.998222;-1.869889;ALBACETE;INPEALSA
PG CAMPOLLANO-P. 2-CT, S.N.;D;Terrestre;"L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00";39.012583;-1.874972;ALBACETE;REPSOL
CR N-301, 244;I;Terrestre;L-D: 24H;39.027778;-1.892972;ALBACETE;REPSOL
CARRETERA N-322 KM. 359;D;Terrestre;"L-V: 07:00-21:00; S-D: 09:00-14:00";39.033139;-1.845083;ALBACETE;REPSOL
AVENIDA 1º DE MAYO, S/N;N;Terrestre;L-D: 07:00-23:00;38.985194;-1.866806;ALBACETE;PETROCAMP
AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N;N;Terrestre;L-D: 07:00-23:00;38.982167;-1.853306;ALBACETE;INPEALSA
CARRETERA NACIONAL 322 PTO KM 347 KM. 347;D;Terrestre;L-S: 07:00-22:00;38.965639;-1.9355;ALBACETE;P347
CARRETERA NACIONAL 301 KM. 256;D;Terrestre;L-D: 24H;38.929389;-1.831639;ALBACETE;INPEALSA
CARRETERA N-322 KM. 349;D;Terrestre;L-D: 24H;38.970167;-1.919778;ALBACETE;CEPSA
AVENIDA PRINCIPE, 2;D;Terrestre;L-D: 08:00-16:00;38.900944;-1.994028;SANTA ANA;REPSOL
CM. 3203 km 14,1;D;Terrestre;"L-S: 07:00-14:00; D: 09:00-14:00";38.867556;-1.9205;SALOBRAL (EL);LOZANO
CTRA.AGUASNUEVAS KM 0,25;D;Terrestre;L-D: 24H;38.870278;-1.922722;SALOBRAL (EL);CORYMAR
MADRID-CARTAGENA km 248,5;D;Terrestre;L-D: 06:00-22:00;38.971722;-1.845278;ALBACETE;REPSOL. LOS ANGELES DE LA MANCHA, S.L.
MADRID-CARTAGENA km 248,5;I;Terrestre;L-V: 06:00-22:00;38.971778;-1.845306;ALBACETE;REPSOL Nº ESTACIÓN 97179
AUTOVIA A-31 KM. 69;I;Terrestre;L-D: 06:00-22:00;39.031528;-1.891361;ALBACETE;REPSOL
AVENIDA 3ª ESQUINA C/ F Nº3, 3;N;Terrestre;L-D: 24H;39.009417;-1.885694;ALBACETE;FAST & GAS
POLIGONO CAMPOLLANO AVENIDA -0-, 69;D;Terrestre;"L-V: 07:00-21:00; S-D: 09:00-14:00";39.021972;-1.879639;ALBACETE;ABOIL
AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67;N;Terrestre;L-D: 24H;39.021583;-1.886556;ALBACETE;VALERO 24H
POLIGONO CAMPOLLANO AVENIDA 1, 0;N;Terrestre;"L-V: 06:00-22:00; S: 06:00-14:00";39.016389;-1.893944;ALBACETE;INPEALSA
CARRETERA C-M 332 KM. 2,6;D;Terrestre;L-D: 06:00-23:30;38.998111;-1.831611;ALBACETE;"INLOCOR S.L. ""CEPSA"""
SECTOR PARCELA T-3 LOCAL52, 14;N;Terrestre;"L-S: 06:00-23:00; D: 08:00-23:00";39.009639;-1.878111;ALBACETE;ALCAMPO
POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69;D;Terrestre;L-D: 24H;39.018;-1.874333;ALBACETE;ENERCOM CARBURANTES
CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N;D;Terrestre;L-D: 24H;39.029583;-1.888083;ALBACETE;NATURGY ES  GNV ALBACETE
CALLE AUTOVIA, SN;N;Terrestre;L-D: 24H;39.029167;-1.888333;ALBACETE;LA GAVIOTA GASOLINERA 24 HORA
POLIGONO CAMPOLLANO C/.F, 13;D;Terrestre;L-D: 24H;39.012472;-1.889417;ALBACETE;AVANZA OIL
AVENIDA PRIMERA, S/N;D;Terrestre;L-D: 24H;39.022139;-1.882056;ALBACETE;GMOIL
CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238;I;Terrestre;L-D: 07:00-22:00;38.970778;-1.873194;ALBACETE;AREA LOS LLANOS
POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N;D;Terrestre;L-D: 06:30-22:30;38.969361;-1.823639;ALBACETE;CEPSA
AUTOVIA A-30 KM. 239,4;D;Terrestre;L-D: 07:00-23:00;39.059806;-1.93325;ALBACETE;CEPSA
AUTOVIA A-30 KM. 239,4;I;Terrestre;L-D: 24H;39.060528;-1.933056;ALBACETE;CEPSA
CM-3203 km 41,9;I;Terrestre;L-D: 07:00-21:30;38.646833;-1.978917;ALCADOZO;CEPSA
CARRETERA CM-3201 47,1 KM. 47,1;D;Terrestre;L-D: 08:00-20:00;39.203167;-1.433222;ALCALA DEL JUCAR;EL JUCAR
CARRETERA 322 KM. 302;I;Terrestre;L-V: 07:00-17:00;38.808528;-2.327639;JARDIN (EL);REPSOL
CL AVDA. DE AYORA, S.N. A;D;Terrestre;L-D: 06:00-22:00;38.874583;-1.100528;ALMANSA;REPSOL
AUTOVIA A-31 KM. 143,350;I;Terrestre;L-D: 06:00-22:00;38.878278;-1.143722;ALMANSA;CEPSA
AVENIDA CIRCUNVALACION, 26;N;Terrestre;L-D: 06:00-22:00;38.859944;-1.08475;ALMANSA;CEPSA
AVENIDA MADRID, 11;N;Terrestre;L-V: 06:00-22:00;38.871556;-1.108;ALMANSA;CEPSA
AVENIDA CIRCUNVALACION, 9;N;Terrestre;L-D: 06:00-22:00;38.879167;-1.098889;ALMANSA;CEPSA
CARRETERA N-430 BADAJOZ A VALENCIA KM. 594;D;Terrestre;L-D: 24H;38.850278;-1.027694;ALMANSA;GASOLINERA LOW COST PENADES
AUTOVIA A-31 KM. 140;D;Terrestre;L-D: 07:00-23:00;38.875028;-1.17575;ALMANSA;SHELL
AVENIDA CIRCUNVALACION, 17;N;Terrestre;L-D: 24H;38.874083;-1.089278;ALMANSA;GASÓLEOS S. ALMANSA
AVENIDA INFANTE DON JUAN MANUEL, 8;D;Terrestre;L-D: 24H;38.874556;-1.102944;ALMANSA;QUALITY ALMANSA
AVENIDA AYORA CON AVENIDA ADOLFO SUAREZ, S/N;D;Terrestre;L-D: 24H;38.878667;-1.100028;ALMANSA;PLENOIL
BONETE, S/Nº;N;Terrestre;L-D: 24H;38.958875;-1.236552;ALPERA;COOPERATIVA SANTA CRUZ DE ALPERA
N-322 km 326,2;D;Terrestre;L-D: 07:00-23:00;38.878028;-2.150639;BALAZOTE;E.S. BALAZOTE S.L.
CALLE ALBACETE, 57;I;Terrestre;L-D: 06:00-23:00;39.043139;-2.195139;BARRAX;E.S. BARRAX S.L.
